0.05,0.1,0.2,0.25,0.5,0.75,0.85,AUC,Accuracy,Model,Recall at .05,Recall at .10,Recall at .20,Recall at .25,Recall at .5,Recall at .75,Recall at .85,f1 at 0.05,f1 at 0.1,f1 at 0.2,f1 at 0.25,f1 at 0.5,f1 at 0.75,f1 at 0.85,test_time (sec),train_time (sec)
0.0778415605408 (0.0101611489133),0.0772627319012 (0.0175459743151),0.0574237576419 (0.0359659305826),0.0507214358664 (0.0427200914001),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.576904007568 (0.00638569884047),0.93316 (0.00160518603975),"LogisticRegression(C=1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='sag', tol=0.001,
          verbose=0, warm_start=False)",0.670130404223 (0.275361699488),0.437387810642 (0.31195763643),0.183805194348 (0.226189148455),0.10899696258 (0.156803378808),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.132921584445 (0.00814594524188),0.11395707154 (0.0536436220559),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),0.00312442779541 (0.000164493988585),2.52434577942 (0.776423024537)
0.0549024676601 (0.0276521090933),0.0422120914955 (0.034692059581),0.0281897415243 (0.0347119302356),0.0299871829532 (0.037243642451),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.527088701137 (0.0155384363451),0.93316 (0.00160518603975),"LogisticRegression(C=1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='sag', tol=1, verbose=0,
          warm_start=False)",0.668375368529 (0.408548031112),0.48947960438 (0.44107806661),0.246676621347 (0.387151522857),0.20028841128 (0.39575198493),0.0 (0.0),0.0 (0.0),0.0 (0.0),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),0.00318574905396 (9.33311750896e-05),0.0677487850189 (0.00350159380069)
0.06685385675 (0.0016043504986),0.066860500676 (0.00160485944656),0.0668790774987 (0.0015894660511),0.0668703907706 (0.00159873770257),0.0822811427162 (0.00931258295033),0.0 (0.0),0.0 (0.0),0.577370510991 (0.00691021272727),0.592693333333 (0.27630309155),"LogisticRegression(C=0.01, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=1, penalty='l2', random_state=None,
          solver='sag', tol=1e-05, verbose=0, warm_start=False)",0.999801002654 (0.000243864611187),0.999600115625 (0.000200296717504),0.998903007601 (0.000488409342435),0.998002870155 (0.000632423764933),0.459626280387 (0.329838172095),0.0 (0.0),0.0 (0.0),0.125323175952 (0.00281967038328),0.125333288554 (0.00282090340244),0.125360504516 (0.00279309443206),0.125338132637 (0.0028098810746),0.116257384644 (0.0393037902455),nan (nan),nan (nan),0.00317416191101 (0.000204573566553),4.47251338959 (0.113308170091)
0.0702125453119 (0.00426112603438),0.0706906245098 (0.00943559093849),0.0761278955378 (0.0482991819215),0.019512195122 (0.0390243902439),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.521362653304 (0.0209951249184),0.93316 (0.00160518603975),"KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=20, p=2,
           weights='uniform')",0.749102385447 (0.183460310098),0.416205265167 (0.178093654164),0.0109152002388 (0.0109379731776),0.000396432111001 (0.000792864222002),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.127640841148 (0.00788892987195),0.115790767044 (0.0263035523659),0.0167459505124 (0.015617956276),nan (nan),nan (nan),nan (nan),nan (nan),1.46928782463 (0.372579642665),0.287146234512 (0.0471477670746)
0.0702125453119 (0.00426112603438),0.0706906245098 (0.00943559093849),0.0761278955378 (0.0482991819215),0.019512195122 (0.0390243902439),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.521362653304 (0.0209951249184),0.93316 (0.00160518603975),"KNeighborsClassifier(algorithm='auto', leaf_size=60, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=20, p=2,
           weights='uniform')",0.749102385447 (0.183460310098),0.416205265167 (0.178093654164),0.0109152002388 (0.0109379731776),0.000396432111001 (0.000792864222002),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.127640841148 (0.00788892987195),0.115790767044 (0.0263035523659),0.0167459505124 (0.015617956276),nan (nan),nan (nan),nan (nan),nan (nan),1.77428898811 (0.468935359406),0.279552125931 (0.0477950317065)
0.0700173596283 (0.00839680296981),0.0681388890123 (0.00897355187832),0.044312986965 (0.0326838644751),0.2 (0.4),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.521565591233 (0.0204362791425),0.93316 (0.00160518603975),"KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=20, p=2,
           weights='distance')",0.562464880921 (0.226783935083),0.251840769745 (0.124595958568),0.00495109141071 (0.00822025501655),9.91080277502e-05 (0.0001982160555),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.121516299437 (0.0213342446256),0.100321341831 (0.0277800626946),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),1.47108020782 (0.370632958271),0.283694458008 (0.049806933091)
0.0700173596283 (0.00839680296981),0.0681388890123 (0.00897355187832),0.044312986965 (0.0326838644751),0.2 (0.4),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.521565591233 (0.0204362791425),0.93316 (0.00160518603975),"KNeighborsClassifier(algorithm='auto', leaf_size=60, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=20, p=2,
           weights='distance')",0.562464880921 (0.226783935083),0.251840769745 (0.124595958568),0.00495109141071 (0.00822025501655),9.91080277502e-05 (0.0001982160555),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.121516299437 (0.0213342446256),0.100321341831 (0.0277800626946),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),1.80159277916 (0.493944418008),0.277976560593 (0.0499767085787)
0.0718658496192 (0.00479810004376),0.0790330248251 (0.00940591558442),0.0666666666667 (0.133333333333),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.537466561169 (0.0210093751521),0.93316 (0.00160518603975),"KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=50, p=2,
           weights='uniform')",0.677931141714 (0.182981228315),0.247953377731 (0.144398136644),9.91080277502e-05 (0.0001982160555),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.12872579939 (0.00826661989301),0.112581125141 (0.0288324809048),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),1.93174147606 (0.447938224752),0.290038347244 (0.0555030720383)
0.0718658496192 (0.00479810004376),0.0790330248251 (0.00940591558442),0.0666666666667 (0.133333333333),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.537466561169 (0.0210093751521),0.93316 (0.00160518603975),"KNeighborsClassifier(algorithm='auto', leaf_size=60, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=50, p=2,
           weights='uniform')",0.677931141714 (0.182981228315),0.247953377731 (0.144398136644),9.91080277502e-05 (0.0001982160555),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.12872579939 (0.00826661989301),0.112581125141 (0.0288324809048),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),2.23351340294 (0.544271161681),0.278029870987 (0.0509127906707)
0.071921253991 (0.00478361414633),0.0770831763147 (0.0133182359026),0.025 (0.05),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.538907979904 (0.0220860169318),0.93316 (0.00160518603975),"KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=50, p=2,
           weights='distance')",0.678524013532 (0.183402366909),0.167074756379 (0.117550982598),9.91080277502e-05 (0.0001982160555),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.128816821423 (0.00822896310203),0.0941155475577 (0.0387602964176),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),1.94384374619 (0.452087401884),0.290143203735 (0.0561667062037)
0.071921253991 (0.00478361414633),0.0770831763147 (0.0133182359026),0.025 (0.05),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.538907979904 (0.0220860169318),0.93316 (0.00160518603975),"KNeighborsClassifier(algorithm='auto', leaf_size=60, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=50, p=2,
           weights='distance')",0.678524013532 (0.183402366909),0.167074756379 (0.117550982598),9.91080277502e-05 (0.0001982160555),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.128816821423 (0.00822896310203),0.0941155475577 (0.0387602964176),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),2.27881259918 (0.59214770564),0.278190135956 (0.0576797797258)
0.0703961414441 (0.00329315077097),0.0782227423319 (0.0147599124797),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.540116850284 (0.0131953856472),0.93316 (0.00160518603975),"KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=100, p=2,
           weights='uniform')",0.790742277573 (0.172542888216),0.112116801834 (0.0825149880192),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.128482504036 (0.00389649712119),0.0808035571127 (0.0316002401068),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),2.56644563675 (0.51869787565),0.286088562012 (0.0496971119498)
0.0703961414441 (0.00329315077097),0.0782227423319 (0.0147599124797),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.540116850284 (0.0131953856472),0.93316 (0.00160518603975),"KNeighborsClassifier(algorithm='auto', leaf_size=60, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=100, p=2,
           weights='uniform')",0.790742277573 (0.172542888216),0.112116801834 (0.0825149880192),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.128482504036 (0.00389649712119),0.0808035571127 (0.0316002401068),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),2.87333025932 (0.674664119243),0.277361392975 (0.0577386630198)
0.071341014664 (0.00357976398511),0.0785910585708 (0.00834501621349),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.541494329474 (0.0148124156539),0.93316 (0.00160518603975),"KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=100, p=2,
           weights='distance')",0.730436477558 (0.203161868271),0.0746469608805 (0.0709555077605),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.128484425318 (0.00450857236502),0.0620886687808 (0.030617697036),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),2.59246616364 (0.536104510497),0.286878633499 (0.0575267876576)
0.071341014664 (0.00357976398511),0.0785910585708 (0.00834501621349),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.541494329474 (0.0148124156539),0.93316 (0.00160518603975),"KNeighborsClassifier(algorithm='auto', leaf_size=60, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=100, p=2,
           weights='distance')",0.730436477558 (0.203161868271),0.0746469608805 (0.0709555077605),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.128484425318 (0.00450857236502),0.0620886687808 (0.030617697036),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),2.91691837311 (0.662605296273),0.274632549286 (0.0489317782353)
0.071341014664 (0.00357976398511),0.0785910585708 (0.00834501621349),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.541494329474 (0.0148124156539),0.93316 (0.00160518603975),"KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=100, p=2,
           weights='distance')",0.730436477558 (0.203161868271),0.0746469608805 (0.0709555077605),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.128484425318 (0.00450857236502),0.0620886687808 (0.030617697036),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),2.59246616364 (0.536104510497),0.286878633499 (0.0575267876576)
0.071341014664 (0.00357976398511),0.0785910585708 (0.00834501621349),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.541494329474 (0.0148124156539),0.93316 (0.00160518603975),"KNeighborsClassifier(algorithm='auto', leaf_size=60, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=100, p=2,
           weights='distance')",0.730436477558 (0.203161868271),0.0746469608805 (0.0709555077605),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.128484425318 (0.00450857236502),0.0620886687808 (0.030617697036),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),2.91691837311 (0.662605296273),0.274632549286 (0.0489317782353)
0.155246758534 (0.0319364338334),0.227729046082 (0.0459892042944),0.347048510634 (0.0392099396642),0.398306890076 (0.0281092090102),0.606896956423 (0.0274771355299),0.712276612277 (0.205084076156),0.0 (0.0),0.858078824896 (0.00303409428246),0.93706 (0.0015884863515),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.86658087291 (0.0491383315331),0.745508488862 (0.0671784622051),0.553274218168 (0.0524434894887),0.479572527572 (0.0385683184958),0.167107847398 (0.00976543978365),0.00620556049602 (0.0038014410659),0.0 (0.0),0.261002243077 (0.0446216069098),0.343660700786 (0.0491176136675),0.42237005523 (0.019353631519),0.432922869708 (0.0106004082778),0.261806422083 (0.0122292227606),0.0122791119166 (0.00747917845181),nan (nan),0.57345995903 (0.0255549726994),42.992303133 (0.148032485336)
0.160784666115 (0.0118603015439),0.275204613553 (0.0139785150465),0.387880112104 (0.0180536264924),0.42486957367 (0.0153589713571),0.618716370736 (0.0200806425614),0.6 (0.489897948557),0.0 (0.0),0.86250229705 (0.00292638989614),0.936526666667 (0.00135505637439),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.865849454888 (0.0124663424149),0.672177339358 (0.0188147736332),0.497347431253 (0.0218273589841),0.441609320457 (0.0180755078969),0.132008931007 (0.00683659383139),0.000397842414266 (0.000367969288542),0.0 (0.0),0.27093942022 (0.0166104557579),0.390097422635 (0.0126105770708),0.435192040462 (0.010581332301),0.432574169028 (0.00770244569116),0.21743153444 (0.00889051242208),nan (nan),nan (nan),0.354229211807 (0.0035927500972),26.5234619617 (0.250878630052)
0.153479594011 (0.00707778886572),0.215517525767 (0.00758878374603),0.337503095053 (0.0134307220249),0.39530171269 (0.0163488755099),0.566447946077 (0.0225647132056),0.677822371243 (0.0999640951319),0.91 (0.111355287257),0.824888046877 (0.00105382859907),0.935853333333 (0.00157008138501),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=50, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=1,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.800937373375 (0.00720865282448),0.695996732578 (0.00670900425627),0.513210811903 (0.0105072189454),0.433357766209 (0.00526388551962),0.164505899643 (0.0130098003474),0.00774081861044 (0.00375196688006),0.00168585554071 (0.000659422963943),0.257502088763 (0.00973963476373),0.329005786742 (0.00810689268517),0.407035812303 (0.0106935802733),0.41326660963 (0.00926913803202),0.254856397065 (0.0176817137789),0.0152846237648 (0.00733070174222),0.00336446900592 (0.00131497291965),0.414906215668 (0.0200101055824),5.04819455147 (0.0468325675089)
0.191201100038 (0.0090381655414),0.289555720361 (0.00736994768236),0.388854328652 (0.0136859456017),0.429974506808 (0.0157430721304),0.610556614622 (0.0252463088581),0.730454545455 (0.0885792356692),0.703333333333 (0.381284379142),0.836496198181 (0.00603717083817),0.935813333333 (0.00139421025036),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=20, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=1,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.756181417006 (0.00843265299043),0.61956059755 (0.0110842385525),0.468538423093 (0.00919257605325),0.404225483012 (0.00258799455514),0.108920257594 (0.0109182740837),0.00536691954454 (0.00315658364218),0.00226119396193 (0.00181088996382),0.305091007595 (0.0112491938487),0.394577047976 (0.00714625621977),0.424900777961 (0.0106592633012),0.416598280978 (0.00848959072244),0.184698426847 (0.0163729096987),0.0106384413085 (0.00622635484271),nan (nan),0.48783416748 (0.00285828444788),6.4573527813 (0.113130406883)
0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.549669958991 (0.0120193647765),0.0 (0.0),0.0 (0.0),0.858166554475 (0.00227809925326),0.935566666667 (0.00132664991614),"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None,
          learning_rate=1.0, n_estimators=50, random_state=None)",1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),0.199397764546 (0.00543647384764),0.0 (0.0),0.0 (0.0),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.292579260774 (0.00643487461212),nan (nan),nan (nan),0.249800872803 (0.00138416140799),6.24213519096 (0.132006103983)
0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.549669958991 (0.0120193647765),0.0 (0.0),0.0 (0.0),0.858166554475 (0.00227809925326),0.935566666667 (0.00132664991614),"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None,
          learning_rate=1.0, n_estimators=50, random_state=None)",1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),0.199397764546 (0.00543647384764),0.0 (0.0),0.0 (0.0),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.292579260774 (0.00643487461212),nan (nan),nan (nan),0.249800872803 (0.00138416140799),6.24213519096 (0.132006103983)
